AEP1,AEP2,AEP3,AEP4,AEP5,AEP6,AEP7,AEP8,AEP9,AEP10,AEP11,AEP12,AEP13,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,RPM,DIAM,POWER,CP
4122.6,5086.5,6031.7,6933.6,7777.4,8555.5,9264.6,9903.5,10472,10971,11401,11764,12060,37753,1.29E+05,2.79E+05,5.01E+05,8.07E+05,1.21E+06,1.65E+06,1.92E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,15.626,110,2.00E+06,0.44
4123.3,5087.3,6032.7,6934.7,7778.7,8556.8,9265.9,9904.9,10474,10972,11402,11765,12061,37753,1.29E+05,2.79E+05,5.01E+05,8.07E+05,1.21E+06,1.65E+06,1.92E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,16.494,110,2.00E+06,0.44
4123.3,5087.3,6032.7,6934.7,7778.7,8556.8,9265.9,9904.9,10474,10972,11402,11765,12061,37753,1.29E+05,2.79E+05,5.01E+05,8.07E+05,1.21E+06,1.65E+06,1.92E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,17.362,110,2.00E+06,0.44
4123.3,5087.3,6032.7,6934.7,7778.7,8556.8,9265.9,9904.9,10474,10972,11402,11765,12061,37753,1.29E+05,2.79E+05,5.01E+05,8.07E+05,1.21E+06,1.65E+06,1.92E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,18.23,110,2.00E+06,0.44
4160.7,5121.9,6063.6,6961.6,7801.7,8576.4,9282.4,9918.8,10485,10982,11411,11772,12067,39276,1.33E+05,2.86E+05,5.13E+05,8.25E+05,1.22E+06,1.63E+06,1.91E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,13.022,110,2.00E+06,0.45
4183.1,5150.4,6096.8,6998.4,7840.7,8616.6,9323.1,9959.2,10525,11021,11448,11808,12102,39276,1.33E+05,2.86E+05,5.13E+05,8.26E+05,1.23E+06,1.66E+06,1.92E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,13.89,110,2.00E+06,0.45
4192.9,5162.8,6111.5,7014.7,7858.1,8634.6,9341.3,9977.3,10543,11038,11465,11824,12118,39276,1.33E+05,2.86E+05,5.13E+05,8.26E+05,1.23E+06,1.67E+06,1.93E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,14.758,110,2.00E+06,0.45
4195.6,5166.4,6115.7,7019.4,7863.1,8639.8,9346.6,9982.6,10548,11044,11470,11829,12122,39276,1.33E+05,2.86E+05,5.13E+05,8.26E+05,1.23E+06,1.68E+06,1.93E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,15.626,110,2.00E+06,0.45
4196,5166.8,6116.3,7019.9,7863.7,8640.5,9347.2,9983.2,10549,11044,11471,11829,12123,39276,1.33E+05,2.86E+05,5.13E+05,8.26E+05,1.23E+06,1.68E+06,1.93E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,16.494,110,2.00E+06,0.45
4196,5166.8,6116.3,7019.9,7863.7,8640.5,9347.2,9983.2,10549,11044,11471,11829,12123,39276,1.33E+05,2.86E+05,5.13E+05,8.26E+05,1.23E+06,1.68E+06,1.93E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,17.362,110,2.00E+06,0.45
4196,5166.8,6116.3,7019.9,7863.7,8640.5,9347.2,9983.2,10549,11044,11471,11829,12123,39276,1.33E+05,2.86E+05,5.13E+05,8.26E+05,1.23E+06,1.68E+06,1.93E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,18.23,110,2.00E+06,0.45
4235.4,5204.1,6150.3,7050.5,7890.8,8664.3,9368.2,10002,10565,11058,11483,11841,12133,40828,1.36E+05,2.93E+05,5.25E+05,8.44E+05,1.24E+06,1.66E+06,1.92E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,13.022,110,2.00E+06,0.46
4256.7,5230.9,6181.6,7085,7927.4,8701.9,9406.1,10039,10602,11094,11518,11874,12165,40828,1.36E+05,2.93E+05,5.25E+05,8.45E+05,1.26E+06,1.69E+06,1.93E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,13.89,110,2.00E+06,0.46
4265,5241.5,6194,7098.7,7941.9,8716.9,9421.2,10054,10617,11109,11532,11888,12178,40828,1.36E+05,2.93E+05,5.25E+05,8.45E+05,1.26E+06,1.70E+06,1.94E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,14.758,110,2.00E+06,0.46
4267.7,5245,6198.2,7103.3,7946.8,8722,9426.4,10059,10622,11114,11537,11892,12182,40828,1.36E+05,2.93E+05,5.25E+05,8.45E+05,1.26E+06,1.70E+06,1.94E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,15.626,110,2.00E+06,0.46
4268,5245.5,6198.7,7103.9,7947.5,8722.7,9427.1,10060,10622,11114,11537,11893,12183,40828,1.36E+05,2.93E+05,5.25E+05,8.45E+05,1.26E+06,1.70E+06,1.94E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,16.494,110,2.00E+06,0.46
4268,5245.5,6198.7,7103.9,7947.5,8722.7,9427.1,10060,10622,11114,11537,11893,12183,40828,1.36E+05,2.93E+05,5.25E+05,8.45E+05,1.26E+06,1.70E+06,1.94E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,17.362,110,2.00E+06,0.46
4268,5245.5,6198.7,7103.9,7947.5,8722.7,9427.1,10060,10622,11114,11537,11893,12183,40828,1.36E+05,2.93E+05,5.25E+05,8.45E+05,1.26E+06,1.70E+06,1.94E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,18.23,110,2.00E+06,0.46
4308.5,5284.2,6234.6,7136.7,7977,8749.1,9450.6,10081,10641,11131,11553,11906,12195,42381,1.40E+05,3.00E+05,5.37E+05,8.62E+05,1.27E+06,1.69E+06,1.93E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,13.022,110,2.00E+06,0.47
4328.5,5309.3,6263.8,7168.6,8010.7,8783.8,9485.6,10116,10675,11164,11584,11937,12225,42381,1.40E+05,3.00E+05,5.37E+05,8.64E+05,1.28E+06,1.71E+06,1.94E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,13.89,110,2.00E+06,0.47
4336.5,5319.4,6275.6,7181.7,8024.6,8798.1,9500,10130,10689,11178,11598,11950,12237,42381,1.40E+05,3.00E+05,5.37E+05,8.64E+05,1.29E+06,1.72E+06,1.95E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,14.758,110,2.00E+06,0.47
4338.5,5322,6278.6,7185,8028.1,8801.7,9503.7,10134,10693,11181,11601,11953,12240,42381,1.40E+05,3.00E+05,5.37E+05,8.64E+05,1.29E+06,1.72E+06,1.95E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,15.626,110,2.00E+06,0.47
4338.6,5322.2,6278.8,7185.3,8028.4,8802,9503.9,10134,10693,11182,11601,11954,12240,42381,1.40E+05,3.00E+05,5.37E+05,8.64E+05,1.29E+06,1.72E+06,1.95E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,16.494,110,2.00E+06,0.47
4338.6,5322.2,6278.8,7185.3,8028.4,8802,9503.9,10134,10693,11182,11601,11954,12240,42381,1.40E+05,3.00E+05,5.37E+05,8.64E+05,1.29E+06,1.72E+06,1.95E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,17.362,110,2.00E+06,0.47
4338.6,5322.2,6278.8,7185.3,8028.4,8802,9503.9,10134,10693,11182,11601,11954,12240,42381,1.40E+05,3.00E+05,5.37E+05,8.64E+05,1.29E+06,1.72E+06,1.95E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,18.23,110,2.00E+06,0.47
4380.8,5363.2,6317.5,7221.2,8061.3,8832,9531.2,10159,10716,11202,11620,11971,12256,43934,1.44E+05,3.07E+05,5.49E+05,8.81E+05,1.30E+06,1.71E+06,1.94E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,13.022,110,2.00E+06,0.48
4399.6,5386.7,6344.7,7251,8092.7,8864.2,9563.6,10191,10747,11233,11650,11999,12283,43934,1.44E+05,3.07E+05,5.49E+05,8.83E+05,1.31E+06,1.73E+06,1.95E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,13.89,110,2.00E+06,0.48
4406.7,5395.6,6355.1,7262.3,8104.7,8876.6,9576,10203,10759,11245,11661,12010,12294,43934,1.44E+05,3.07E+05,5.49E+05,8.83E+05,1.31E+06,1.74E+06,1.96E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,14.758,110,2.00E+06,0.48
4408.7,5398.2,6358.1,7265.7,8108.3,8880.3,9579.8,10207,10763,11248,11664,12013,12297,43934,1.44E+05,3.07E+05,5.49E+05,8.83E+05,1.31E+06,1.75E+06,1.96E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,15.626,110,2.00E+06,0.48
4408.9,5398.4,6358.4,7266,8108.6,8880.6,9580.1,10207,10763,11248,11665,12013,12297,43934,1.44E+05,3.07E+05,5.49E+05,8.83E+05,1.31E+06,1.75E+06,1.96E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,16.494,110,2.00E+06,0.48
4408.9,5398.4,6358.4,7266,8108.6,8880.6,9580.1,10207,10763,11248,11665,12013,12297,43934,1.44E+05,3.07E+05,5.49E+05,8.83E+05,1.31E+06,1.75E+06,1.96E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,17.362,110,2.00E+06,0.48
4408.9,5398.4,6358.4,7266,8108.6,8880.6,9580.1,10207,10763,11248,11665,12013,12297,43934,1.44E+05,3.07E+05,5.49E+05,8.83E+05,1.31E+06,1.75E+06,1.96E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,18.23,110,2.00E+06,0.48
4452.2,5440.9,6398.9,7304,8143.8,8913,9609.8,10235,10788,11271,11686,12033,12315,45487,1.47E+05,3.14E+05,5.61E+05,9.00E+05,1.32E+06,1.74E+06,1.95E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,13.022,110,2.00E+06,0.49
4469.7,5462.6,6424,7331.3,8172.6,8942.4,9639.3,10264,10817,11299,11712,12059,12340,45487,1.47E+05,3.14E+05,5.61E+05,9.01E+05,1.34E+06,1.76E+06,1.96E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,13.89,110,2.00E+06,0.49
4476,5470.6,6433.2,7341.4,8183.3,8953.3,9650.3,10275,10827,11309,11722,12068,12349,45487,1.47E+05,3.14E+05,5.61E+05,9.02E+05,1.34E+06,1.76E+06,1.96E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,14.758,110,2.00E+06,0.49
4477.4,5472.4,6435.3,7343.7,8185.7,8955.8,9652.8,10277,10830,11312,11725,12070,12351,45487,1.47E+05,3.14E+05,5.61E+05,9.02E+05,1.34E+06,1.77E+06,1.96E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,15.626,110,2.00E+06,0.49
4477.4,5472.4,6435.3,7343.8,8185.7,8955.9,9652.9,10277,10830,11312,11725,12070,12351,45487,1.47E+05,3.14E+05,5.61E+05,9.02E+05,1.34E+06,1.77E+06,1.96E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,16.494,110,2.00E+06,0.49
4477.4,5472.4,6435.3,7343.8,8185.7,8955.9,9652.9,10277,10830,11312,11725,12070,12351,45487,1.47E+05,3.14E+05,5.61E+05,9.02E+05,1.34E+06,1.77E+06,1.96E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,17.362,110,2.00E+06,0.49
4477.4,5472.4,6435.3,7343.8,8185.7,8955.9,9652.9,10277,10830,11312,11725,12070,12351,45487,1.47E+05,3.14E+05,5.61E+05,9.02E+05,1.34E+06,1.77E+06,1.96E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,18.23,110,2.00E+06,0.49
4522,5516.6,6477.9,7384.1,8223.4,8990.9,9685.3,10307,10857,11337,11748,12092,12371,47039,1.51E+05,3.22E+05,5.73E+05,9.19E+05,1.35E+06,1.76E+06,1.96E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,13.022,110,2.00E+06,0.5
4538.5,5537,6501.3,7409.6,8250.2,9018.3,9712.7,10334,10884,11363,11773,12116,12394,47039,1.51E+05,3.22E+05,5.73E+05,9.20E+05,1.36E+06,1.78E+06,1.96E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,13.89,110,2.00E+06,0.5
4544.3,5544.3,6509.8,7418.9,8260,9028.3,9722.8,10344,10894,11372,11782,12125,12402,47039,1.51E+05,3.22E+05,5.73E+05,9.20E+05,1.37E+06,1.78E+06,1.97E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,14.758,110,2.00E+06,0.5
4545.7,5546.1,6511.9,7421.2,8262.5,9030.8,9725.3,10347,10896,11375,11785,12127,12405,47039,1.51E+05,3.22E+05,5.73E+05,9.20E+05,1.37E+06,1.79E+06,1.97E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,15.626,110,2.00E+06,0.5
4545.8,5546.2,6512,7421.3,8262.5,9030.9,9725.4,10347,10896,11375,11785,12127,12405,47039,1.51E+05,3.22E+05,5.73E+05,9.20E+05,1.37E+06,1.79E+06,1.97E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,16.494,110,2.00E+06,0.5
4545.8,5546.2,6512,7421.3,8262.5,9030.9,9725.4,10347,10896,11375,11785,12127,12405,47039,1.51E+05,3.22E+05,5.73E+05,9.20E+05,1.37E+06,1.79E+06,1.97E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,17.362,110,2.00E+06,0.5
4545.8,5546.2,6512,7421.3,8262.5,9030.9,9725.4,10347,10896,11375,11785,12127,12405,47039,1.51E+05,3.22E+05,5.73E+05,9.20E+05,1.37E+06,1.79E+06,1.97E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,18.23,110,2.00E+06,0.5
4591.2,5591.5,6555.9,7463.1,8301.9,9067.6,9759.6,10378,10925,11402,11810,12151,12426,48592,1.55E+05,3.29E+05,5.85E+05,9.38E+05,1.38E+06,1.78E+06,1.96E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,13.022,110,2.00E+06,0.51
4606.6,5610.6,6577.8,7486.8,8326.7,9093,9784.9,10403,10950,11426,11833,12173,12447,48592,1.55E+05,3.29E+05,5.85E+05,9.39E+05,1.39E+06,1.80E+06,1.97E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,13.89,110,2.00E+06,0.51
4611.6,5616.7,6584.8,7494.5,8334.8,9101.2,9793.2,10412,10958,11434,11840,12180,12454,48592,1.55E+05,3.29E+05,5.85E+05,9.39E+05,1.39E+06,1.80E+06,1.97E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,14.758,110,2.00E+06,0.51
4612.4,5617.8,6586.1,7495.9,8336.3,9102.8,9794.7,10413,10959,11435,11842,12181,12455,48592,1.55E+05,3.29E+05,5.85E+05,9.39E+05,1.39E+06,1.80E+06,1.97E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,15.626,110,2.00E+06,0.51
